resource_unique_name	resource_featured_image_URI	resource_featured_image_alt	resource_source	resource_description	resource_subject	resource_tags	file_URI	file_format	file_displayName	file_type	file_license	file_accommodations	file_language	file_length_minutes
Carbon Cycle	./OpenStax Biology/carbon cycle.jpg	"A giraffe eating leaves from a tree. Labels indicate that the giraffe consumes oxygen and releases carbon dioxide, whereas the tree consumes carbon dioxide and releases oxygen."	Open Stax	Illistration showing the carbon cycle using animals and plants.	Biology	"energy, photosynthesis"	./OpenStax Biology/carbon cycle.zip	ZIP						
Carbon Cycle							./OpenStax Biology/carbon cycle.jpg	JPG	Carbon Cycle	Image		Visual	en	
Carbon Cycle							./OpenStax Biology/carbon cycle-alt.txt	TXT	Carbon Cycle Description	Text		Visual Description	en	
Tongue	./OpenStax Biology/tounge.jpg	"Image consists of a two separate images. Image on the left is a sketch of a tongue labelling the Foliate papillae, Circumvallate papillae, Fungiform papillae and Filiform papillae. Right side image shows a closeup view of the tongue with a centimeter representing approximately 100um."	Open Stax	"Tongue taste areas The tongue is a muscular organ in the mouth of most vertebrates that manipulates food for mastication, and is used in the act of swallowing. It is of importance in the digestive system and is the primary organ of taste in the gustatory system. The tongue's upper surface (dorsum) is covered in taste buds housed in numerous lingual papillae. It is sensitive and kept moist by saliva, and is richly supplied with nerves and blood vessels. The tongue also serves as a natural means of cleaning the teeth. A major function of the tongue is the enabling of speech in humans and vocalization in other animals. The human tongue is divided into two parts, an oral part at the front and a pharyngeal part at the back. The left and right sides are also separated along most of its length by a vertical section of fibrous tissue (the lingual septum) that results in a groove, the median sulcus on the tongue's surface. There are two groups of muscles of the tongue. The four intrinsic muscles alter the shape of the tongue and are not attached to bone. The four paired extrinsic muscles change the position of the tongue and are anchored to bone. Do you have good taste? In this video segment, Dr. Linda Bartoshuk explores the sense of taste in humans — why we have it, and what happens when we lose it. Learn why the sense of smell is also important to our experience of food. Footage from NOVA: ""Mystery of the Senses: Taste""."	Anatomy	"anatomy, human, mouth, taste"	./OpenStax Biology/tounge.zip	ZIP						
Tongue							./OpenStax Biology/tounge.jpg	JPG	Tongue	Image		Visual	en	
Tongue							./OpenStax Biology/tounge-alt.txt	TXT	Tongue Description	Text		Visual Description	en	
1-Hydrogen	./Library Lyna/1-Hydrogen.jpg	3D model of a Hydrogen atom (1 proton in first level ring)	Library Lyna	"Hydrogen is the chemical element with the symbol H and atomic number 1. With a standard atomic weight of 1.008, hydrogen is the lightest element in the periodic table."	Chemistry	"element, gas, non-metal, periodic table"	./Library Lyna/1-Hydrogen.zip	ZIP						
1-Hydrogen							./Library Lyna/1-Hydrogen.stl	STL	Hydrogen	3D Model	CC	Tactile Graphic with Braille	en	
1-Hydrogen							./Library Lyna/1-Hydrogen-alt.txt	TXT	Hydrogen Description	Text		Visual Description	en	
6-Carbon	./Library Lyna/6-Carbon.jpg	"3D model of Carbon atom (2 protons in first level ring, and 4 protons in 2nd level ring)"	Library Lyna	"Carbon (from Latin: carbo ""coal"") is a chemical element with symbol C and atomic number 6. On the periodic table, it is the first (row 2) of six elements in column (group 14), which have in common the composition of their outer electron shell. It is nonmetallic and tetravalent—making four electrons available to form covalent chemical bonds. Three isotopes occur naturally, 12C and 13C being stable while 14C is radioactive, decaying with a half-life of about 5,730 years. Carbon is one of the few elements known since antiquity."	Chemistry	"atom, element, periodic table"	./Library Lyna/6-Carbon.zip	ZIP						
6-Carbon							./Library Lyna/6-Carbon.stl	STL	Carbon	3D Model	CC	Tactile Graphic with braille	en	
